Cấp 1,Cấp 2,Cấp 3,Cấp 4,Cấp 5,Tên ngành VSIC 2018,Từ khóa nhận diện và phân loại gói thầu,Nhóm lĩnh vực phân loại lại,Lĩnh vực chi tiết trong đấu thầu (phân loại lại),
,,,111,1110,Trồng lúa,"Trồng lúa, sản xuất gạo, sản xuất lúa, sản xuất lúa gạo",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,112,1120,Trồng ngô và cây lương thực có hạt khác,"Trồng ngô, sản xuất ngô, bột ngô, sản xuất lương thực",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,113,1130,Trồng cây lấy củ có chất bột,"Trồng cây lấy củ, củ tinh bột",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,114,1140,Trồng cây mía,"Trồng mía, sản xuất mật mía",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,115,1150,"Trồng cây thuốc lá, thuốc lào","Trồng thuốc là, trồng cây thuốc lào, trồng thuốc lào, sản xuất thuốc lào",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,116,1160,Trồng cây lấy sợi,Trồng cây lấy sợi,Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,117,1170,Trồng cây có hạt chứa dầu,"Trồng cây có hạt chứa dầu, sản xuất dầu ép",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,118,,"Trồng rau, đậu các loại và trồng hoa","Trồng rau, Trồng đậu, Trồng hoa, sản xuất rau, cung cấp hoa",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1181,Trồng rau các loại,"Trồng rau, sản xuất rau",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1182,Trồng đậu các loại,Trồng đậu,Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1183,Trồng hoa hàng năm,"Trồng hoa, cung cấp hoa",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,119,,Trồng cây hàng năm khác,"Trồng cây gia vị, trồng cây dược liệu, trồng cây hương liệu",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1191,Trồng cây gia vị hàng năm,Cây gia vị,Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1192,"Trồng cây dược liệu, hương liệu hàng năm","Cây dược liệu, cây hương liệu",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1199,Trồng cây hàng năm khác còn lại,,Nông nghiệp,"Ngành nông, lâm nghiệp",
,,12,,,Trồng cây lâu năm,,,"Ngành nông, lâm nghiệp",
,,,121,,Trồng cây ăn quả,Trồng cây ăn quả,Nông nghiệp,"Ngành nông, lâm nghiệp",
